$WIMWV,49,0,2.3,0,A,34,,,,,,,,,
$VMVBW,11.63,0,A,0,,V,,V,,V,64,,,,
$HEHDT,175.9,T*25,,,,,,,,,,,,,
$GPGGA,140157.67,34.113495,N,132.999822,E,2,8,1,26,M,31,M,9,749,4A                                                     
$GPZDA,140159,26,12,2019,-9,0,47,,,,,,,,
$GPVTG,167.5,T,167.5,M,13.8,N,25.6,K,D,2D                                                                                     ,,,,,
$WIMWV,83,0,3.6,0,A,36,,,,,,,,,
$VMVBW,13.11,0,A,0,,V,,V,,V,63,,,,
$GPGGA,140257.67,34.109953,N,133.001793,E,2,6,1,30,M,31,M,9,749,49
$GPZDA,140259,26,12,2019,-9,0,44,,,,,,,,
$GPVTG,149.7,T,149.7,M,14.4,N,26.7,K,D,24,,,,,
$WIMWV,95,0,3,0,A,37,,,,,,,,,
$VMVBW,13.68,0,A,0,,V,,V,,V,6D                                                                                    ,,,,
$GPGGA,140357.67,34.107185,N,133.005385,E,2,6,1,30,M,31,M,10,749,4D                                                     
$GPZDA,140359,26,12,2019,-9,0,45,,,,,,,,
$GPVTG,129,T,129,M,14.9,N,27.7,K,D,28,,,,,
$WIMWV,118,0,2.2,0,A,30,,,,,,,,,
$VMVBW,15.41,0,A,0,,V,,V,,V,60,,,,
$GPGGA,140457.67,34.104157,N,133.009403,E,2,6,1,31,M,31,M,10,749,41
$GPZDA,140459,26,12,2019,-9,0,42,,,,,,,,
$GPVTG,133.7,T,133.7,M,16.8,N,31.2,K,D,29,,,,,
$WIMWV,119,0,2.4,0,A,37,,,,,,,,,
$VMVBW,17.35,0,A,0,,V,,V,,V,61,,,,
$GPGGA,140557.67,34.101023,N,133.014018,E,2,6,1,31,M,31,M,10,749,41
